date,temp_max,humidity_mean,solar_rad,satellite_id,asset_link,has_satellite_image,vpd_kpa,heat_stress_idx
2023-07-13,39.3,19,30.44,S2B_MSIL2A_20230713T184939_R113_T10SGF_20230714T033938,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/13/S2B_MSIL2A_20230713T184939_N0509_R113_T10SGF_20230714T033938.SAFE/GRANULE/L2A_T10SGF_A033172_20230713T185935/IMG_DATA/R10m/T10SGF_20230713T184939_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,5.75493,9.299999
2023-07-14,41.2,23,30.36,,,0,6.0526333,11.200001
2023-07-15,44.3,19,29.82,S2A_MSIL2A_20230715T183921_R070_T10SGF_20241007T071034,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/15/S2A_MSIL2A_20230715T183921_N0510_R070_T10SGF_20241007T071034.SAFE/GRANULE/L2A_T10SGF_A042109_20230715T184650/IMG_DATA/R10m/T10SGF_20230715T183921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,7.4867086,14.299999
2023-07-15,44.3,19,29.82,S2A_MSIL2A_20230715T183921_R070_T10SGF_20230716T021535,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/15/S2A_MSIL2A_20230715T183921_N0509_R070_T10SGF_20230716T021535.SAFE/GRANULE/L2A_T10SGF_A042109_20230715T184650/IMG_DATA/R10m/T10SGF_20230715T183921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,7.4867086,14.299999
2023-07-16,44.6,17,25.49,,,0,7.791306,14.599998
2023-07-17,44.8,21,28.0,,,0,7.492648,14.799999
2023-07-18,41.3,22,24.49,S2A_MSIL2A_20230718T184921_R113_T10SGF_20241014T064349,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/18/S2A_MSIL2A_20230718T184921_N0510_R113_T10SGF_20241014T064349.SAFE/GRANULE/L2A_T10SGF_A042152_20230718T185858/IMG_DATA/R10m/T10SGF_20230718T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,6.163708,11.299999
2023-07-19,40.5,20,28.83,,,0,6.059549,10.5
2023-07-20,41.3,19,29.64,S2B_MSIL2A_20230720T183929_R070_T10SGF_20240817T204416,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/20/S2B_MSIL2A_20230720T183929_N0510_R070_T10SGF_20240817T204416.SAFE/GRANULE/L2A_T10SGF_A033272_20230720T185408/IMG_DATA/R10m/T10SGF_20230720T183929_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,6.4007735,11.299999
2023-07-20,41.3,19,29.64,S2B_MSIL2A_20230720T183929_R070_T10SGF_20230721T001442,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/07/20/S2B_MSIL2A_20230720T183929_N0509_R070_T10SGF_20230721T001442.SAFE/GRANULE/L2A_T10SGF_A033272_20230720T185408/IMG_DATA/R10m/T10SGF_20230720T183929_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,6.4007735,11.299999
2023-07-21,43.2,17,29.66,,,0,7.2459993,13.200001
2023-07-22,43.7,16,28.98,,,0,7.5264435,13.700001
